"package","dataset","test_auc","test_bacc","test_mcc"
"basic_(median/mode)","adult","0.91593259820783","0.780993908534325","0.603898428327672"
"basic_(median/mode)","eucalyptus","0.950919117647059","0.888970588235294","0.782558078584934"
"basic_(median/mode)","dresses-sales","0.574646074646075","0.590733590733591","0.215102787099221"
"basic_(median/mode)","credit-approval","0.92973544973545","0.873968253968254","0.751523753974519"
"basic_(median/mode)","sick","0.996415563392496","0.927154997976528","0.898368963833644"
"basic_(median/mode)","SpeedDating","1","0.98014440433213","0.976113309941471"
"mice","adult","0.914683870271617","0.775928902594658","0.597568722281142"
"mice","eucalyptus","0.965625","0.902573529411765","0.809925421597828"
"mice","dresses-sales","0.494208494208494","0.492277992277992","-0.0166068055348313"
"mice","credit-approval","0.904923599320883","0.849957555178268","0.696596735244021"
"mice","sick","0.99551945424062","0.906746834711222","0.874349685251459"
"mice","SpeedDating","0.99999225852401","0.969314079422383","0.962994972964387"
"VIM_knn","adult","0.914445804162076","0.775472091766731","0.59524610803738"
"VIM_knn","eucalyptus","0.966176470588235","0.888970588235294","0.782558078584934"
"VIM_knn","dresses-sales","0.588803088803089","0.607464607464608","0.23373474569319"
"VIM_knn","credit-approval","0.92349841938883","0.829820864067439","0.66706359378994"
"VIM_knn","sick","0.996415563392496","0.927154997976528","0.898368963833644"
"VIM_knn","SpeedDating","0.999997419508003","0.978339350180505","0.973931478242994"
"VIM_hotdeck","adult","0.914190496093613","0.779395171720091","0.604705287228893"
"VIM_hotdeck","eucalyptus","0.965441176470588","0.901470588235294","0.81103222306276"
"VIM_hotdeck","dresses-sales","0.593736593736594","0.593951093951094","0.206823765082973"
"VIM_hotdeck","credit-approval","0.93329001516136","0.86809616634178","0.73270925264712"
"VIM_hotdeck","sick","0.995490547493785","0.916950916343875","0.886423159344049"
"VIM_hotdeck","SpeedDating","1","0.963898916967509","0.956410502768693"
"missRanger","adult","0.915005460242469","0.780254988066947","0.60351212976889"
"missRanger","eucalyptus","0.958639705882353","0.882720588235294","0.76862684137579"
"missRanger","dresses-sales","0.586658086658087","0.57014157014157","0.149261720252963"
"missRanger","credit-approval","0.91886195995785","0.846048472075869","0.694516230079826"
"missRanger","sick","0.996299936405157","0.916950916343875","0.886423159344049"
"missRanger","SpeedDating","1","0.976534296028881","0.971747848582321"
