"package","dataset","train_set_imputation_time","test_set_imputation_time"
"basic_(median/mode)","adult","0.0999999999999996","0.0300000000000011"
"basic_(median/mode)","eucalyptus","0.00399999999999778","0.00300000000000011"
"basic_(median/mode)","dresses-sales","0.00600000000000023","0.00500000000000256"
"basic_(median/mode)","credit-approval","0.00500000000000256","0.00500000000000256"
"basic_(median/mode)","sick","0.0300000000000011","0.0139999999999958"
"basic_(median/mode)","SpeedDating","0.0870000000000033","0.0420000000000016"
"mice","adult","5.26299999999999","0.707999999999998"
"mice","eucalyptus","0.0930000000000035","0.0599999999999881"
"mice","dresses-sales","0.340999999999994","0.172000000000011"
"mice","credit-approval","0.0769999999999982","0.0730000000000075"
"mice","sick","0.251000000000005","0.0939999999999941"
"mice","SpeedDating","170.446","48.945"
"VIM_knn","adult","113.908","7.14100000000002"
"VIM_knn","eucalyptus","0.307999999999993","0.100999999999999"
"VIM_knn","dresses-sales","0.512","0.119999999999948"
"VIM_knn","credit-approval","0.119999999999948","0.0589999999999691"
"VIM_knn","sick","6.12599999999998","0.604000000000042"
"VIM_knn","SpeedDating","267.663","19.991"
"VIM_hotdeck","adult","0.0790000000000646","0.0339999999999918"
"VIM_hotdeck","eucalyptus","0.0299999999999727","0.0260000000000673"
"VIM_hotdeck","dresses-sales","0.04099999999994","0.02699999999993"
"VIM_hotdeck","credit-approval","0.0270000000000437","0.0240000000000009"
"VIM_hotdeck","sick","0.05499999999995","0.0480000000000018"
"VIM_hotdeck","SpeedDating","0.553999999999974","0.301000000000045"
"missRanger","adult","21.5989999999999","3.95300000000009"
"missRanger","eucalyptus","0.56899999999996","0.188000000000102"
"missRanger","dresses-sales","0.472999999999956","0.136000000000081"
"missRanger","credit-approval","0.503000000000043","0.183999999999969"
"missRanger","sick","1.67399999999998","0.480000000000018"
"missRanger","SpeedDating","83.8309999999999","18.205"
