"Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"casual","low",5,"free","spring","v-neck","full","natural","cotton","shiffon","lace","solid","2"
"sexy","medium",5,"m","winter","o-neck","sleevless","empire","polyster","chiffon","bow","solid","1"
"party","average",4.4,"free","autumn","v-neck","threequarter","natural","cotton","flannael","hollowout","solid","1"
"bohemian","low",4.6,"free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid","1"
"sexy","average",4.6,"s","summer","v-neck","sleevless","natural","nylon","chiffon","lace","solid","2"
"casual","average",4.4,"free","summer","slash-neck","sleevless","empire","cotton","chiffon","lace","patchwork","2"
"party","high",4.6,"l","spring","slash-neck","sleevless","empire","silk","chiffon","beading","print","1"
"party","average",4.9,"m","winter","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid","2"
"casual","low",4.6,"free","spring","o-neck","full","natural","cotton","chiffon","applique","patchwork","1"
"work","average",4.9,"m","summer","sqare-collor","halfsleeve","empire","polyster","sattin","sashes","solid","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","worsted","pockets","solid","1"
"casual","average",4.7,"free","winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid","1"
"party","very-high",4.1,"m","winter","scoop","short","natural","cotton","lace","applique","patchwork","2"
"cute","average",4.7,"m","summer","o-neck","sleevless","natural","chiffonfabric","terry","sashes","splice","1"
"sexy","low",4.4,"free","summer","bowneck","sleevless","natural","viscos","chiffon","bow","solid","1"
"cute","average",4.3,"m","summer","v-neck","full","natural","cotton","chiffon","sequined","solid","1"
"party","average",4.8,"free","winter","o-neck","sleevless","empire","polyster","tulle","embroidary","character","2"
"casual","low",5,"m","spring","o-neck","sleeevless","natural","chiffonfabric","chiffon","hollowout","solid","2"
"casual","average",4.7,"free","spring","o-neck","sleevless","natural","milksilk","chiffon","lace","solid","1"
"casual","average",4.3,"free","summer","o-neck","sleevless","natural","cotton","worsted","sequined","striped","1"
"vintage","average",4.6,"free","winter","o-neck","full","natural","cotton","chiffon","lace","print","2"
"work","medium",4.6,"l","winter","sqare-collor","short","empire","cotton","worsted","tiered","solid","1"
"sexy","low",4.3,"m","autumn","open","short","natural","lace","chiffon","lace","print","1"
"brief","average",4.8,"free","winter","v-neck","halfsleeve","natural","polyster","broadcloth","lace","solid","1"
"cute","average",4.5,"xl","spring","boat-neck","full","natural","cotton","worsted","applique","dot","2"
"party","medium",4.8,"m","spring","o-neck","sleevless","natural","silk","chiffon","crystal","solid","2"
"casual","average",4.3,"free","winter","o-neck","short","natural","polyster","chiffon","cascading","solid","1"
"casual","average",4.5,"l","summer","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"sexy","low",5,"m","autumn","o-neck","full","natural","rayon","chiffon","lace","print","2"
"casual","average",4.7,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","floral","1"
"casual","average",4.5,"l","spring","boat-neck","thressqatar","natural","chiffonfabric","dobby","lace","animal","2"
"party","very-high",4.8,"free","spring","sweetheart","sleevless","natural","polyster","chiffon","beading","solid","2"
"cute","medium",4.6,"free","spring","o-neck","short","natural","chiffonfabric","tulle","hollowout","solid","2"
"party","very-high",4.6,"free","summer","o-neck","sleevless","empire","rayon","chiffon","hollowout","solid","1"
"casual","low",4.8,"m","winter","v-neck","sleevless","natural","polyster","chiffon","sashes","print","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","chiffon","ruffles","solid","2"
"brief","low",4.4,"l","autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid","1"
"casual","medium",4.9,"l","winter","o-neck","short","natural","cotton","broadcloth","sashes","solid","1"
"sexy","average",5,"l","autumn","v-neck","sleevless","empire","polyster","chiffon","lace","patchwork","1"
"party","average",4.7,"m","summer","o-neck","full","natural","cotton","chiffon","sequined","patchwork","2"
"vintage","average",4.7,"l","summer","sqare-collor","short","empire","cotton","chiffon","sequined","dot","2"
"sexy","average",5,"m","autumn","o-neck","sleevless","empire","milksilk","jersey","lace","solid","2"
"casual","low",4.8,"free","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","print","1"
"work","average",4.7,"m","spring","v-neck","sleevless","empire","cotton","chiffon","sashes","solid","2"
"casual","average",4.8,"m","spring","o-neck","sleevless","natural","cotton","chiffon","hollowout","print","1"
"casual","medium",5,"m","autumn","v-neck","short","empire","polyster","broadcloth","rivet","solid","1"
"work","average",4.8,"l","winter","v-neck","short","natural","mix","broadcloth","lace","solid","1"
"casual","average",4.5,"m","spring","v-neck","short","empire","cotton","worsted","button","solid","2"
"casual","low",4.8,"xl","summer","o-neck","short","empire","mix","chiffon","sashes","geometric","1"
"sexy","average",5,"free","autumn","v-neck","sleevless","natural","polyster","shiffon","lace","patchwork","1"
"sexy","average",4.1,"free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"casual","low",4.5,"free","summer","o-neck","full","natural","cotton","chiffon","button","solid","1"
"casual","average",4.7,"free","summer","v-neck","sleevless","natural","cotton","chiffon","pockets","patchwork","1"
"cute","average",4.6,"free","spring","v-neck","full","natural","cotton","chiffon","sequined","solid","2"
"party","average",4.6,"m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.8,"m","summer","v-neck","full","natural","cotton","shiffon","lace","striped","1"
"party","average",4.7,"m","spring","v-neck","sleevless","natural","cotton","jersey","lace","print","2"
"bohemian","average",4.1,"free","summer","o-neck","thressqatar","natural","cotton","chiffon","hollowout","solid","1"
"party","average",4.7,"free","winter","o-neck","sleevless","natural","polyster","wollen","hollowout","solid","1"
"sexy","low",4.8,"free","spring","v-neck","sleevless","natural","polyster","chiffon","sequined","solid","2"
"vintage","average",4.8,"m","summer","o-neck","short","empire","cotton","jersey","button","animal","2"
"casual","average",4.1,"free","spring","o-neck","short","natural","cotton","poplin","lace","solid","2"
"vintage","average",4.8,"m","winter","o-neck","sleevless","natural","cotton","wollen","lace","patchwork","2"
"casual","medium",4.7,"free","winter","bowneck","full","natural","cashmere","knitted","pockets","solid","2"
"casual","low",4.3,"m","summer","o-neck","sleevless","natural","cotton","chiffon","pockets","solid","1"
"casual","average",4.5,"m","summer","peterpan-collor","sleevless","natural","chiffonfabric","chiffon","lace","print","1"
"sexy","low",4.8,"m","autumn","v-neck","full","natural","cotton","chiffon","sashes","print","2"
"cute","average",4.8,"m","summer","o-neck","short","natural","cotton","chiffon","rivet","solid","1"
"casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"bohemian","low",4.8,"free","summer","o-neck","short","natural","cotton","organza","beading","animal","2"
"cute","average",4.6,"m","spring","o-neck","halfsleeve","natural","acrylic","chiffon","lace","print","1"
"party","very-high",5,"l","winter","v-neck","sleevless","natural","polyster","tulle","beading","solid","1"
"sexy","low",4.4,"free","autumn","v-neck","sleevless","natural","cotton","worsted","lace","solid","1"
"sexy","average",4.6,"free","spring","v-neck","full","natural","cotton","wollen","lace","solid","2"
"casual","low",5,"free","winter","o-neck","halfsleeve","natural","polyster","worsted","hollowout","patchwork","2"
"novelty","average",4.6,"free","winter","o-neck","short","natural","polyster","broadcloth","lace","patchwork","2"
"sexy","low",4.7,"m","winter","o-neck","threequarter","empire","silk","chiffon","lace","print","2"
"casual","very-high",4.4,"small","spring","o-neck","full","natural","viscos","chiffon","applique","solid","1"
"sexy","low",4.4,"free","winter","o-neck","sleevless","natural","lycra","chiffon","hollowout","solid","1"
"casual","low",4.5,"l","winter","o-neck","sleevless","empire","polyster","chiffon","lace","leopard","1"
"casual","average",4.3,"m","spring","o-neck","halfsleeve","empire","microfiber","chiffon","sequined","print","2"
"casual","high",4.6,"m","summer","sweetheart","sleevless","empire","chiffonfabric","chiffon","beading","solid","2"
"casual","average",4.7,"l","autumn","o-neck","halfsleeve","natural","polyster","chiffon","lace","solid","1"
"vintage","low",4.6,"m","summer","o-neck","short","natural","chiffonfabric","chiffon","lace","print","1"
"bohemian","low",5,"free","summer","o-neck","sleevless","empire","cotton","broadcloth","tassel","print","2"
"cute","low",4.3,"free","autumn","o-neck","sleevless","natural","polyster","chiffon","sashes","striped","1"
