"timestamp","customer","job_number","grain_screened","proof_on_ctd_ink","paper_type","ink_type","solvent_type","type_on_cylinder","press_type","press","unit_number","cylinder_size","paper_mill_location","plating_tank","proof_cut","viscosity","ink_temperature","humifity","roughness","blade_pressure","varnish_pct","press_speed","ink_pct","solvent_pct","ESA_Voltage","ESA_Amperage","wax","hardener","roller_durometer","current_density","anode_space_ratio","chrome_content","band_type"
"19901209","62","35001","3","3","4","3","1","1","4","816",9,"3","3","1910",35,42,15.5,80,1,26,0,1800,62.5,37.5,3,0,2.5,2,40,5,100,3,"noband"
"19910729","69","37510","2","3","2","1","1","1","4","815",2,"2","3","1910",45,61,14,98,0.75,30,0,1600,58.8,41.2,2,0,2.4,0.9,30,5,100,3,"band"
"19900511","53","47103","3","3","4","3","1","2","2","813",1,"2","3","1910",50,48,13,80,1,30,18.9,1700,47.2,34,0,0,2.7,0.6,40,2,100,3,"band"
"19930908","53","47405","2","3","2","1","1","2","1","815",2,"2","3","1911",45,56,14,91,1.125,27,3.4,1650,56.8,38.6,0,0,3,1.5,34,5,100,2,"band"
"19900517","69","36054","2","3","2","1","1","2","3","827",2,"4","1","1910",45,55,15,75,0.75,25,0,2300,59.8,40.2,0,0,2,2.3,30,2,96.6,3,"noband"
"19910505","53","47203","3","3","4","3","1","2","2","813",1,"2","3","1910",50,52,15.6,71,0.75,30,20.6,1700,46.7,32.7,0,0,2.5,0.6,40,5,106.66,3,"noband"
"19900820","6","34585","2","3","2","1","1","2","3","828",10,"4","1","1910",57,57,14.2,78,1,30,10.5,2400,52.6,36.8,0,0,2.5,1,33,5,93.75,3,"noband"
"19900611","14","37874","2","3","2","1","1","2","4","815",2,"2","1","1910",45,60,15,78,0.625,34,15,1750,50,35,0,0,2.5,1,33,5,103.13,3,"noband"
"19900710","53","47104","3","3","4","3","1","2","1","802",7,"2","3","1911",30,56,16,70,0.75,60,21.8,1400,45.4,32.8,0,0,3,0.9,40,5,96.8,3,"noband"
"19910125","33","23052","3","3","4","3","1","2","3","821",7,"4","3","1911",40,45,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,5,100,3,"band"
"19901107","48","36166","2","3","4","1","1","1","3","828",9,"4","3","1910",50,43,15.5,72,0.75,30,5.1,2200,50.6,44.3,0,0,2.5,1.3,35,5,96.77,3,"noband"
"19910323","48","37355","2","3","2","1","1","2","3","828",2,"4","3","1911",40,49,15.3,74,1,34,0,2000,62.5,37.5,0,0,2.2,1,35,5,100,3,"noband"
"19901008","6","34587","2","3","2","1","1","1","3","827",2,"4","1","1911",30,53,14,85,0.75,30,15,2290,50,35,0,0,2,1.5,33,5,110.7,3,"noband"
"19901031","48","36165","3","3","4","3","1","1","3","828",9,"4","3","1910",65,42,17.5,100,1.125,25,17.5,2250,48.5,34,0,0,2.5,1,40,5,100,3,"noband"
"19910201","48","37352","2","3","2","1","1","2","3","827",9,"4","4","1911",45,42,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,5,107.4,3,"band"
"19930227","11","35831","2","3","3","2","1","2","1","815",2,"2","3","1911",45,40,16.5,84,0.625,26,3.4,1565,56.8,38.6,0,0,2.5,1,34,5,106.6,2,"band"
"19901214","28","34693","2","3","2","1","1","2","3","828",2,"4","1","1910",45,41,16.1,74,1,30,0,1800,62.5,37.5,1,0,2.5,1.2,30,5,106.45,3,"noband"
