"surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"yes","adult",38.4,84,30,"cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",47,7.5,"died","yes"
"yes","adult",38.3,40,18,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","increased","normal",43,5.9,"lived","no"
"yes","adult",37.4,84,20,"cool","normal","pale pink","<3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine",31,61,"euthanized","no"
"yes","adult",36.5,100,24,"cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended small intestine",50,6,"lived","yes"
"yes","adult",39.3,64,90,"warm","reduced","normal pink","<3","alert no pain","hypomotile","none","none",">1l","normal","distended large intestine",39,6.7,"lived","yes"
"yes","adult",39.3,64,90,"warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","normal","distended large intestine",39,6.7,"lived","yes"
"no","adult",38.4,80,60,"cool","increased","bright pink","<3","intermittent mild pain","normal","none","slight",">1l","normal","normal",54,6.9,"lived","no"
"yes","adult",37.8,60,80,"normal","reduced","bright pink",">=3","depressed","hypomotile","moderate","slight",">1l","absent","distended large intestine",40,4.5,"lived","yes"
"yes","adult",38,36,16,"cool","normal","normal pink","<3","intermittent severe pain","normal","slight","significant","<1l","decreased","distended small intestine",37,75,"euthanized","no"
"no","adult",37.7,40,18,"normal","normal","normal pink","<3","intermittent mild pain","normal","none","none","none","decreased","firm feces in large intestine",36,3.5,"lived","no"
"no","young",38.6,88,28,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","<1l","normal","normal",35,5.9,"lived","no"
"yes","adult",38.2,60,50,"normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended small intestine",43,6.2,"lived","yes"
"yes","adult",39.4,40,36,"cool","reduced","pale pink","meaning unknown","continuous severe pain","hypomotile","moderate","significant",">1l","absent","distended large intestine",46,5.9,"died","yes"
"yes","young",38.9,120,30,"normal","reduced","bright pink",">=3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine",47,6.3,"lived","no"
"no","adult",38.3,112,16,"cool","reduced","bright red",">=3","intermittent severe pain","hypomotile","none","none",">1l","absent","distended large intestine",51,6,"euthanized","no"
"yes","adult",37.8,52,24,"normal","reduced","pale pink","<3","intermittent severe pain","absent","none","slight","<1l","increased","distended large intestine",48,6.6,"died","yes"
"no","adult",37.5,45,32,"cool","normal","normal pink","<3","alert no pain","normal","none","none","none","normal","normal",46,6.8,"lived","no"
"yes","adult",38.7,76,40,"normal","normal","bright red",">=3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine",50,8,"lived","yes"
"yes","adult",38,50,36,"normal","normal","normal pink","<3","intermittent mild pain","normal","slight","significant","<1l","decreased","distended small intestine",39,6.6,"lived","yes"
"no","adult",39,64,40,"normal","normal","bright red","<3","intermittent mild pain","hypomotile","slight","slight","none","decreased","firm feces in large intestine",42,7.5,"lived","no"
"yes","adult",39.4,120,30,"cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","slight","slight","none","decreased","distended large intestine",60,7,"lived","yes"
