"Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
-39.7166666666667,150,900,-2,1986,"ra",1825,19.81,9.05,64.5650271551253,3.5129780952381,3.37215285714286,2.73648153846154,3.07086333333333,2.40532220032841,"0"
-39.8333333333333,70,1000,-2,1981,"fa",1978,26.6,13.5,75,5,3,2.5,2,1,"1"
-41.2666666666667,300,1200,-3,1982,"ov",2571,16.79,13.17,100,4,2,3,3,2.5,"1"
-41.1333333333333,220,1050,-2,1983,"fr",2552,14.89,7.56,50,4,4,2,3,2,"1"
-40.95,180,1080,-3,1982,"re",2550,11.27,7.14,75,2.5,3,3,4,3,"0"
-41.2,160,1000,-3,1981,"fr",1786,11.9,9.6,88,4,3,2.5,2.5,2.5,"1"
-40.95,180,1080,-3,1981,"rd",1524,2.57,3.08,75,2,2,2,4,3,"0"
-40.95,180,1080,-3,1982,"fa",2548,5.5,4.89,25,1.5,3,3,3,3,"0"
-40,150,1300,-2,1983,"am",2560,35.83,21.5,10,3.3,3.5,4,4.5,3,"1"
-41.2,160,1000,-3,1981,"re",2428,12.3,8.2,75,4,3,3,2,2,"1"
-41.2666666666667,300,1200,-3,1982,"br",2620,7.87,6.25,100,3.5,1.5,2,2,2,"0"
-40.6,150,1250,-3,1983,"am",1592,24.24,17.9,38,3.5,3.5,3,3.3,2.5,"1"
-40,150,1300,-2,1983,"ov",2571,31.33,15.67,30,4.1,2.3,3.4,4,3.1,"1"
-39,200,1400,-2,1980,"co",1520,25.92,12.12,38.7248957501979,3.3,3,4,3.5,3.5,"1"
-39.8333333333333,70,1000,-2,1981,"fa",1978,23.7,12.6,88,5,3.3,3,2,2,"1"
-41.1333333333333,220,1050,-2,1983,"pa",2750,13.26,8.94,100,4,4,3,3.5,3.5,"1"
-39.7166666666667,150,900,-2,1986,"pu",2573,23.62,10.11,54.8275686114121,3.51819333333333,3.60689761904762,3.02794179487179,3.49873444444444,2.77600666666667,"0"
-40.6,150,1250,-3,1983,"pu",2573,27.4,17.9,38,3,3.3,2.5,3,2,"1"
-40,150,1300,-2,1983,"fr",2552,15.52,7.83,10,2,4,4,4,4,"0"
-40.95,180,1080,-3,1982,"re",2553,19.13,13.5,50,5,4,4,4,3,"1"
-39.7166666666667,150,900,-2,1986,"te",3274,20.57,7.71,47.4413240387064,2.96273,3.61800476190476,2.72539179487179,3.28799333333333,2.74615505747126,"0"
-41.2666666666667,300,1200,-3,1982,"fa",2548,24.77,10.67,100,4.5,3,4,3,2,"1"
-40.95,180,1080,-3,1983,"co",2562,9.94,7.46,50,3,4,3,4,3,"0"
-39.8333333333333,70,1000,-2,1981,"nd",1596,12.6,8,37,2.5,3.5,4,4,4,"0"
-40.95,180,1080,-3,1983,"co",1,11.88,9.81,63,3,4,2.5,2.5,2.5,"0"
-41.2666666666667,300,1200,-3,1982,"nd",2635,17.4,10.66,75,3,2,4,4,3,"1"
-41.2666666666667,300,1200,-3,1982,"ov",1788,6.76,6.76,75,1,1,3,3,3,"0"
-41.2666666666667,300,1200,-3,1982,"ka",1171,8.4,3.91,100,3,2,1,2,1,"0"
-40.6,150,1250,-3,1983,"re",2550,7.84,3.34,38,2,2.3,1.5,2,2,"0"
-40,150,1300,-2,1983,"ni",2547,37.49,17.45,40,4.5,2.6,3.6,2.9,2.3,"1"
-39.8333333333333,70,1000,-2,1981,"si",2435,19.6,12.3,75,3.3,3,3.3,3.5,3.5,"1"
-39,200,1400,-2,1980,"nd",1596,24.42,10.47,42.4387394416916,4.5,4,4.3,3.7,3.3,"1"
-39.7166666666667,150,900,-2,1986,"am",3266,25.73,11.75,56.4001019447454,3.69584333333333,3.71396043290043,3.01621846153846,3.44284111111111,2.57161095238095,"0"
