"Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"casual","low",5,"free","spring","v-neck","full","natural","cotton","worsted","lace","solid","2"
"sexy","medium",5,"m","winter","o-neck","sleevless","empire","polyster","chiffon","bow","solid","1"
"party","average",4.4,"free","autumn","v-neck","threequarter","natural","cotton","worsted","lace","solid","1"
"bohemian","low",4.6,"free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid","1"
"sexy","average",4.78128333333333,"s","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"casual","average",4.4,"free","summer","slash-neck","sleevless","empire","cotton","corduroy","lace","solid","2"
"party","high",4.6,"l","spring","slash-neck","sleevless","empire","silk","chiffon","beading","solid","1"
"party","average",4.9,"m","winter","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid","2"
"casual","low",4.61622719372129,"free","summer","o-neck","full","natural","cotton","worsted","lace","patchwork","1"
"work","average",4.9,"m","summer","sqare-collor","halfsleeve","empire","polyster","sattin","sashes","solid","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","worsted","pockets","solid","1"
"casual","average",4.58972333333331,"free","winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid","1"
"party","very-high",4.1,"m","winter","scoop","short","natural","cotton","lace","applique","solid","2"
"cute","average",4.7,"m","summer","o-neck","sleevless","natural","chiffonfabric","chiffon","sashes","splice","1"
"sexy","low",4.4,"free","summer","bowneck","sleevless","natural","viscos","chiffon","bow","solid","1"
"cute","average",4.3,"m","summer","o-neck","short","natural","cotton","chiffon","sashes","solid","1"
"party","low",4.8,"free","winter","o-neck","sleevless","empire","polyster","chiffon","embroidary","solid","2"
"casual","low",5,"m","spring","o-neck","sleeevless","natural","chiffonfabric","chiffon","sashes","solid","2"
"casual","average",4.72550761904762,"free","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.3,"free","summer","o-neck","sleevless","natural","cotton","worsted","sashes","striped","1"
"vintage","average",4.6,"free","winter","o-neck","full","natural","cotton","chiffon","lace","print","2"
"work","medium",4.6,"l","winter","sqare-collor","short","empire","cotton","broadcloth","tiered","solid","1"
"sexy","low",4.3,"m","autumn","open","short","natural","lace","chiffon","lace","print","1"
"brief","average",4.8,"free","winter","v-neck","halfsleeve","natural","polyster","broadcloth","ruffles","solid","1"
"cute","average",4.74959666666667,"xl","spring","boat-neck","full","natural","cotton","worsted","applique","dot","2"
"party","medium",4.8,"m","spring","o-neck","sleevless","natural","silk","chiffon","crystal","solid","2"
"casual","average",4.69283523809524,"free","winter","o-neck","short","natural","polyster","chiffon","cascading","solid","1"
"casual","average",4.5,"l","summer","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"sexy","low",5,"m","autumn","o-neck","full","natural","cotton","chiffon","lace","print","2"
"casual","average",4.7103869047619,"free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","floral","1"
"casual","average",4.5,"l","spring","boat-neck","thressqatar","natural","cotton","dobby","lace","animal","2"
"party","very-high",4.8,"free","spring","sweetheart","sleevless","natural","polyster","chiffon","beading","solid","2"
"cute","medium",4.6,"free","spring","o-neck","short","natural","chiffonfabric","chiffon","hollowout","solid","2"
"party","very-high",4.6,"free","summer","o-neck","sleevless","empire","rayon","chiffon","hollowout","solid","1"
"casual","low",4.8,"m","winter","v-neck","sleevless","natural","polyster","chiffon","applique","print","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","worsted","pockets","solid","2"
"brief","low",4.4,"l","autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid","1"
"casual","medium",4.9,"l","winter","o-neck","short","natural","cotton","broadcloth","sashes","solid","1"
"sexy","average",4.71264538461539,"l","autumn","v-neck","sleevless","empire","polyster","chiffon","lace","patchwork","1"
"party","average",4.71025412698413,"m","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork","2"
"vintage","average",4.62613333333331,"l","summer","sqare-collor","short","empire","cotton","chiffon","ruffles","dot","2"
"sexy","average",5,"m","autumn","o-neck","sleevless","empire","milksilk","chiffon","rivet","solid","2"
"casual","low",4.8,"free","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","print","1"
"work","average",4.7,"m","spring","v-neck","sleevless","natural","polyster","chiffon","hollowout","solid","2"
"casual","average",4.8,"m","spring","o-neck","sleevless","natural","cotton","chiffon","hollowout","print","1"
"casual","medium",4.57571238095237,"m","autumn","v-neck","short","empire","polyster","chiffon","ruffles","solid","1"
"work","average",4.8,"l","winter","v-neck","short","natural","mix","broadcloth","lace","solid","1"
"casual","average",4.5,"m","spring","v-neck","short","empire","cotton","chiffon","button","solid","2"
"casual","low",4.8,"xl","summer","o-neck","short","empire","mix","chiffon","sashes","geometric","1"
"sexy","average",4.71648538461539,"free","autumn","v-neck","sleevless","natural","polyster","chiffon","lace","patchwork","1"
"sexy","average",4.1,"free","summer","v-neck","sleevless","natural","cotton","worsted","lace","solid","2"
"casual","low",4.5,"free","summer","o-neck","full","natural","cotton","worsted","button","solid","1"
"casual","average",4.90212285714287,"free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","patchwork","1"
"cute","average",4.6,"free","spring","v-neck","full","natural","cotton","chiffon","lace","solid","2"
"party","average",4.6,"m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.8,"m","summer","v-neck","full","natural","cotton","shiffon","lace","solid","1"
"party","average",4.77686705128204,"m","spring","v-neck","sleevless","natural","polyster","chiffon","hollowout","solid","2"
"bohemian","average",4.1,"free","summer","o-neck","thressqatar","natural","cotton","chiffon","hollowout","solid","1"
"party","average",4.7,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","lace","solid","1"
"sexy","low",4.8,"free","spring","v-neck","sleevless","natural","cotton","broadcloth","sequined","solid","2"
"vintage","average",4.8,"m","summer","o-neck","short","empire","cotton","jersey","ruffles","animal","2"
"casual","average",4.60174157509155,"free","spring","o-neck","short","natural","cotton","chiffon","lace","solid","2"
"vintage","average",4.8,"m","winter","o-neck","sleevless","natural","cotton","chiffon","lace","patchwork","2"
