"Sp","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"ra",-39.7166666666667,150,900,-2,1986,1825,19.81,9.05,56.8917653267902,2.88730542282592,2.72493043829127,2.80538209121862,3.00440193810154,2.68285092091358,"0"
"fa",-39.8333333333333,70,1000,-2,1981,1978,26.6,13.5,75,5,3,2.5,2,1,"1"
"ov",-41.2666666666667,300,1200,-3,1982,2571,16.79,13.17,100,4,2,3,3,2.5,"1"
"fr",-41.1333333333333,220,1050,-2,1983,2552,14.89,7.56,50,4,4,2,3,2,"1"
"re",-40.95,180,1080,-3,1982,2550,11.27,7.14,75,2.5,3,3,4,3,"0"
"fr",-41.2,160,1000,-3,1981,1786,11.9,9.6,88,4,3,2.5,2.5,2.5,"1"
"rd",-40.95,180,1080,-3,1981,1524,2.57,3.08,75,2,2,2,4,3,"0"
"fa",-40.95,180,1080,-3,1982,2548,5.5,4.89,25,1.5,3,3,3,3,"0"
"am",-40,150,1300,-2,1983,2560,35.83,21.5,10,3.3,3.5,4,4.5,3,"1"
"re",-41.2,160,1000,-3,1981,2428,12.3,8.2,75,4,3,3,2,2,"1"
"br",-41.2666666666667,300,1200,-3,1982,2620,7.87,6.25,100,3.5,1.5,2,2,2,"0"
"am",-40.6,150,1250,-3,1983,1592,24.24,17.9,38,3.5,3.5,3,3.3,2.5,"1"
"ov",-40,150,1300,-2,1983,2571,31.33,15.67,30,4.1,2.3,3.4,4,3.1,"1"
"co",-39,200,1400,-2,1980,1520,25.92,12.12,66.581023383977,3.3,3,4,3.5,3.5,"1"
"fa",-39.8333333333333,70,1000,-2,1981,1978,23.7,12.6,88,5,3.3,3,2,2,"1"
"pa",-41.1333333333333,220,1050,-2,1983,2750,13.26,8.94,100,4,4,3,3.5,3.5,"1"
"pu",-39.7166666666667,150,900,-2,1986,2573,23.62,10.11,52.3498680556421,2.86369383576041,2.71971586500392,2.77347702350311,2.98942767435023,2.66362318848889,"0"
"pu",-40.6,150,1250,-3,1983,2573,27.4,17.9,38,3,3.3,2.5,3,2,"1"
"fr",-40,150,1300,-2,1983,2552,15.52,7.83,10,2,4,4,4,4,"0"
"re",-40.95,180,1080,-3,1982,2553,19.13,13.5,50,5,4,4,4,3,"1"
"te",-39.7166666666667,150,900,-2,1986,3274,20.57,7.71,48.0921488697105,2.84150895943721,2.71477560586402,2.74352120372896,2.9753352993519,2.64555079826861,"0"
"fa",-41.2666666666667,300,1200,-3,1982,2548,24.77,10.67,100,4.5,3,4,3,2,"1"
"co",-40.95,180,1080,-3,1983,2562,9.94,7.46,50,3,4,3,4,3,"0"
"nd",-39.8333333333333,70,1000,-2,1981,1596,12.6,8,37,2.5,3.5,4,4,4,"0"
"co",-40.95,180,1080,-3,1983,1,11.88,9.81,63,3,4,2.5,2.5,2.5,"0"
"nd",-41.2666666666667,300,1200,-3,1982,2635,17.4,10.66,75,3,2,4,4,3,"1"
"ov",-41.2666666666667,300,1200,-3,1982,1788,6.76,6.76,75,1,1,3,3,3,"0"
"ka",-41.2666666666667,300,1200,-3,1982,1171,8.4,3.91,100,3,2,1,2,1,"0"
"re",-40.6,150,1250,-3,1983,2550,7.84,3.34,38,2,2.3,1.5,2,2,"0"
"ni",-40,150,1300,-2,1983,2547,37.49,17.45,40,4.5,2.6,3.6,2.9,2.3,"1"
"si",-39.8333333333333,70,1000,-2,1981,2435,19.6,12.3,75,3.3,3,3.3,3.5,3.5,"1"
"nd",-39,200,1400,-2,1980,1596,24.42,10.47,66.1192324345824,4.5,4,4.3,3.7,3.3,"1"
"am",-39.7166666666667,150,900,-2,1986,3266,25.73,11.75,48.141812228078,2.84181242278214,2.71487909645809,2.74391210546236,2.97554825440544,2.6458037133925,"0"
"ov",-41.2666666666667,300,1200,-3,1982,2571,8.98,4.08,75,4,2,2,2,2,"0"
"ni",-40.6,150,1250,-3,1983,2547,25.4,18.75,13,3.7,2.7,2,2.5,2.3,"0"
"ob",-41.2,160,1000,-3,1981,2469,15.2,12.3,5,3,4,3.5,3,4,"0"
"fr",-40.95,180,1080,-3,1981,1339,3.81,4.73,100,3,2.7,3,3,3.5,"1"
"ob",-40.6,150,1250,-3,1983,2570,34.67,15.41,13,4,3,2.5,2.5,2,"0"
"mn",-39,200,1400,-2,1980,1362,11.88,8.23,67.538318509068,2,4,4,4,4,"0"
"pa",-40.95,180,1080,-3,1983,2750,3.37,3.68,50,2,2.5,3,4,3,"0"
"cr",-40.95,180,1080,-3,1983,1252,12.96,11.21,88,4,4,2.5,2,2,"0"
