"Style","Price","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Rating","Class"
"casual","low","free","spring","v-neck","full","natural","cotton","chiffon","lace","solid",5,"2"
"sexy","medium","m","winter","o-neck","sleevless","empire","polyster","chiffon","bow","solid",5,"1"
"party","average","free","autumn","v-neck","threequarter","natural","cotton","chiffon","lace","solid",4.4,"1"
"bohemian","low","free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid",4.6,"1"
"sexy","average","s","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"2"
"casual","average","free","summer","slash-neck","sleevless","empire","cotton","chiffon","lace","solid",4.4,"2"
"party","high","l","spring","slash-neck","sleevless","empire","silk","chiffon","beading","solid",4.6,"1"
"party","average","m","winter","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",4.9,"2"
"casual","low","free","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork",0,"1"
"work","average","m","summer","sqare-collor","halfsleeve","empire","polyster","sattin","sashes","solid",4.9,"1"
"casual","low","free","summer","o-neck","full","natural","cotton","chiffon","pockets","solid",4.4,"1"
"casual","average","free","winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid",0,"1"
"party","very-high","m","winter","scoop","short","natural","cotton","lace","applique","solid",4.1,"2"
"cute","average","m","summer","o-neck","sleevless","natural","chiffonfabric","chiffon","sashes","splice",4.7,"1"
"sexy","low","free","summer","bowneck","sleevless","natural","viscos","chiffon","bow","solid",4.4,"1"
"cute","average","m","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.3,"1"
"party","average","free","winter","o-neck","sleevless","empire","cotton","chiffon","embroidary","solid",4.8,"2"
"casual","low","m","spring","o-neck","sleeevless","natural","chiffonfabric","chiffon","lace","solid",5,"2"
"casual","average","free","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid",0,"1"
"casual","average","free","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped",4.3,"1"
"vintage","average","free","winter","o-neck","full","natural","cotton","chiffon","lace","print",4.6,"2"
"work","medium","l","winter","sqare-collor","short","empire","cotton","chiffon","tiered","solid",4.6,"1"
"sexy","low","m","autumn","open","short","natural","lace","chiffon","lace","print",4.3,"1"
