"surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"yes","adult","cool","normal","bright red",">=3","intermittent severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",38.4,84,30,47,7.5,"yes"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","increased","normal","lived",38.3,40,18,43,5.9,"no"
"yes","adult","cool","normal","pale pink","<3","depressed","hypomotile","moderate","slight","none","absent","distended large intestine","euthanized",37.4,84,20,31,61,"no"
"yes","adult","cool","reduced","pale pink","<3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended small intestine","lived",36.5,100,24,50,6,"yes"
"yes","adult","warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","normal","distended large intestine","lived",39.3,64,90,39,6.7,"yes"
"yes","adult","warm","reduced","normal pink","<3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine","lived",39.3,64,90,39,6.7,"yes"
"no","adult","cool","increased","bright pink","<3","intermittent mild pain","normal","none","slight",">1l","normal","normal","lived",38.4,80,60,54,6.9,"no"
"yes","adult","normal","reduced","bright pink",">=3","depressed","hypomotile","moderate","slight",">1l","absent","distended large intestine","lived",37.8,60,80,40,4.5,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent severe pain","normal","slight","significant","<1l","decreased","distended large intestine","euthanized",38,36,16,37,75,"no"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","normal","none","none","none","decreased","firm feces in large intestine","lived",37.7,40,18,36,3.5,"no"
"no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.6,88,28,35,5.9,"no"
"yes","adult","normal","normal","pale pink","<3","depressed","hypermotile","none","none","none","absent","distended small intestine","lived",38.2,60,28.4314051119191,43,6.2,"yes"
"yes","adult","cool","reduced","pale pink","meaning unknown","continuous severe pain","hypomotile","moderate","significant",">1l","absent","distended large intestine","died",36.65286961616,81.0776026066957,35.0040002228073,46,5.9,"yes"
"yes","young","normal","reduced","bright pink",">=3","intermittent mild pain","hypomotile","moderate","significant","none","absent","distended large intestine","lived",38.9,120,30,47,6.3,"no"
"no","adult","cool","reduced","bright red",">=3","intermittent mild pain","hypomotile","none","none",">1l","absent","distended large intestine","euthanized",38.3,112,16,51,6,"no"
"yes","adult","normal","reduced","pale pink","<3","intermittent severe pain","absent","none","slight","<1l","increased","distended large intestine","died",37.8,52,24,48,6.6,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",0,0,0,0,0,"no"
"yes","adult","normal","normal","bright red",">=3","intermittent mild pain","hypomotile","slight","slight",">1l","absent","distended small intestine","lived",38.7,76,34.2202821621121,50,8,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","normal","slight","slight","none","decreased","distended large intestine","lived",38,50,36,39,6.6,"yes"
