"Sex","Married","BankCustomer","EducationLevel","Ethicity","PriorDefault","Employed","Driverslicense","Citizen","Age","Debt","Yearsemployed","CreditScore","Zipcode","Income","class"
"b","u","g","e","z","f","f","f","g",62.75,7,0,0,0,12,"-"
"b","u","g","c","h","f","f","t","g",35,3.375,8.29,0,0,0,"-"
"b","y","p","e","h","f","f","f","g",29.5,2,2,0,256,17,"-"
"b","y","p","w","v","t","f","t","g",23.33,11.625,0.835,0,160,300,"+"
"a","u","g","q","v","t","t","t","g",41.17,6.5,0.5,3,145,0,"+"
"b","u","g","ff","ff","t","t","f","g",49.58,19,0,1,94,0,"-"
"b","y","p","i","h","f","f","f","g",21.08,4.125,0.04,0,140,100,"-"
"b","y","p","w","v","f","f","f","s",34.83,2.5,3,0,200,0,"-"
"a","u","g","c","h","t","f","f","g",20.5,11.835,6,0,340,0,"+"
"b","u","g","i","v","f","f","t","g",17.08,3.29,0.335,0,140,2,"-"
"b","y","p","c","v","f","f","f","s",26.5,2.71,0.085,0,80,0,"-"
"b","u","g","k","v","t","t","t","g",25,12,2.25,2,120,5,"-"
"a","u","g","q","h","t","f","f","g",24.5,0.5,1.5,0,280,824,"+"
"a","u","g","q","v","t","t","f","g",18.42,9.25,1.21,4,60,540,"+"
"a","u","g","c","v","f","f","f","g",15.75,0.375,1,0,120,18,"-"
"b","u","g","x","h","t","t","f","g",27.67,2,1,4,140,7544,"+"
"a","y","p","ff","ff","f","f","t","g",56.83,4.25,5,0,0,4,"-"
"b","y","p","ff","ff","f","t","f","g",19,0,0,4,45,1,"-"
"b","u","g","m","bb","t","t","t","g",47.67,2.5,2.5,12,410,2510,"+"
"a","y","p","c","v","f","f","f","g",24.5,1.75,0.165,0,132,0,"-"
"b","u","g","q","h","t","t","f","g",43.25,3,6,11,80,0,"+"
"a","u","g","ff","ff","f","f","f","g",27.33,1.665,0,0,340,1,"-"
"b","y","p","aa","v","f","f","t","g",24.5,13.335,0.04,0,120,475,"-"
"b","u","g","c","bb","t","t","f","g",47.67,0.29,15,20,0,15000,"+"
"b","y","p","w","v","t","t","t","g",21,4.79,2.25,1,80,300,"+"
"a","u","g","e","bb","t","t","f","g",47.42,8,6.5,6,375,51100,"+"
"b","y","p","ff","ff","f","t","f","g",32.25,14,0,2,160,1,"-"
"b","u","g","e","v","f","f","f","g",37.5,0.835,0.04,0,120,5,"-"
"b","y","p","w","v","t","t","t","g",23.58,0.46,2.625,6,208,347,"-"
"b","u","g","d","v","f","f","f","g",28.67,14.5,0.125,0,0,286,"-"
"b","y","p","ff","ff","f","f","f","g",24.58,13.5,0,0,4.31481819313256,0,"-"
"b","u","g","m","v","f","f","t","s",23,0.75,0.5,0,320,0,"-"
"b","u","g","aa","v","f","f","f","g",28.17,0.585,0.04,0,260,1004,"-"
"b","y","p","k","v","f","f","f","g",20,1.25,0.125,0,140,4,"-"
"a","y","p","q","h","t","t","f","g",40.33,7.54,8,14,0,2300,"+"
"a","u","g","c","v","t","t","f","g",52.83,15,5.5,14,0,2200,"+"
"b","u","g","q","v","t","t","f","g",39.92,6.21,0.04,1,200,300,"+"
"b","u","g","q","h","t","f","t","g",36.67,3.25,9,0,102,639,"+"
"a","u","g","aa","v","t","t","f","g",21.5,6,2.5,3,80,918,"+"
"b","u","g","c","v","f","t","t","g",31.08,3.085,2.5,2,160,41,"-"
"a","y","p","aa","v","t","f","f","g",25,11,4.5,0,120,0,"-"
