"RIVER","LOCATION","PURPOSE","CLEAR.G","T.OR.D","MATERIAL","SPAN","REL.L","ERECTED","LENGTH","LANES","TYPE"
"A","31","RR","G","THROUGH","STEEL","MEDIUM","F",1920,2122,2,"SIMPLE-T"
"A","27","AQUEDUCT","N","THROUGH","WOOD","SHORT","S",1892,1092,1,"WOOD"
"M","3","HIGHWAY","N","THROUGH","WOOD","SHORT","S",1818,-5.75538606426562e-05,2,"WOOD"
"O","45","HIGHWAY","G","THROUGH","IRON","SHORT","F",1890,-9.64776436376269e-05,2,"SIMPLE-T"
"A","39.5","HIGHWAY","G","DECK","STEEL","MEDIUM","S-F",1945,1060,4,"CONT-T"
"O","48","HIGHWAY","G","THROUGH","STEEL","LONG","F",1896,-9.97212929405578e-05,2,"SUSPEN"
"A","28","RR","N","THROUGH","WOOD","MEDIUM","S",1857,-7.86375773031978e-05,2,"WOOD"
"O","40","HIGHWAY","G","THROUGH","STEEL","LONG","F",1931,1365,4,"ARCH"
"Y","27","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1908,1240,2.67948892779184,"SIMPLE-T"
"A","34","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1902,1850,2,"CANTILEV"
"M","11","HIGHWAY","N","DECK","STEEL","LONG","S-F",1937,1690,4,"CONT-T"
"M","1","HIGHWAY","G","THROUGH","STEEL","LONG","F",1876,1245,2.6393018171047,"SUSPEN"
"M","6","RR","G","THROUGH","STEEL","MEDIUM","F",1903,1417,2,"SIMPLE-T"
"O","46","HIGHWAY","G","THROUGH","STEEL","LONG","S-F",1927,1770,2,"CANTILEV"
"A","28","AQUEDUCT","N","THROUGH","IRON","SHORT","S",1844,1000,1,"SUSPEN"
"A","26","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S-F",1926,884,4,"SUSPEN"
"M","20","HIGHWAY","G","DECK","STEEL","MEDIUM","S-F",1928,2220,2,"CANTILEV"
"M","14","HIGHWAY","G","DECK","STEEL","LONG","F",1951,2423,4,"CONT-T"
"M","18","RR","G","THROUGH","STEEL","MEDIUM","S",1891,1350,2,"SIMPLE-T"
"A","33","HIGHWAY","G","DECK","STEEL","MEDIUM","S-F",1961,980,4,"CONT-T"
"M","9","HIGHWAY","G","DECK","STEEL","LONG","F",1962,2213,4,"CONT-T"
"M","7","HIGHWAY","G","THROUGH","STEEL","LONG","F",1896,1040,2,"ARCH"
"A","38.5","HIGHWAY","N","DECK","STEEL","MEDIUM","S-F",1945,1710,2,"CONT-T"
"M","19","HIGHWAY","G","THROUGH","IRON","MEDIUM","F",1889,1120,2.63297620134484,"SIMPLE-T"
"A","27","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1890,1000,2,"SIMPLE-T"
"A","29","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1923,885,4,"ARCH"
"Y","51","RR","G","THROUGH","STEEL","MEDIUM","F",1945,-0.000660335857787686,2.49860418564849,"SIMPLE-T"
"M","9","HIGHWAY","G","THROUGH","STEEL","LONG","F",1895,2367,2,"SIMPLE-T"
"A","25","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1892,-9.75588603751021e-05,2,"SIMPLE-T"
"M","16","RR","G","THROUGH","IRON","MEDIUM","F",1874,-8.78279143989857e-05,2,"SIMPLE-T"
"A","26","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1884,1080,2,"SUSPEN"
"M","5","HIGHWAY","N","DECK","STEEL","MEDIUM","S-F",1927,2663,4,"CANTILEV"
"M","6","HIGHWAY","G","THROUGH","STEEL","LONG","F",1931,1500,4,"SUSPEN"
"A","25","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S-F",1928,860,4,"SUSPEN"
"M","22","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1893,-9.80994681185621e-05,2,"SIMPLE-T"
"O","48","HIGHWAY","G","THROUGH","STEEL","LONG","F",1945,2160,2,"CANTILEV"
"A","39","RR","G","THROUGH","STEEL","MEDIUM","F",1883,-9.26933882965386e-05,2,"SIMPLE-T"
"O","44","HIGHWAY","G","THROUGH","STEEL","LONG","F",1975,3756,6,"ARCH"
"M","19","HIGHWAY","G","THROUGH","STEEL","LONG","F",1951,1031,4,"CANTILEV"
"A","30","HIGHWAY","G","DECK","STEEL","MEDIUM","F",1928,2678,4,"ARCH"
"A","27","HIGHWAY","N","THROUGH","WOOD","MEDIUM","S",1840,990,2,"WOOD"
"M","10","RR","G","THROUGH","STEEL","MEDIUM","F",1882,-9.21527793025234e-05,2,"SIMPLE-T"
"O","41","RR","G","THROUGH","STEEL","LONG","F",1888,4558,2,"SIMPLE-T"
"O","47","HIGHWAY","G","THROUGH","STEEL","LONG","F",1959,1700,2,"CONT-T"
"A","25","HIGHWAY","N","THROUGH","WOOD","SHORT","S",1819,1037,2,"WOOD"
"A","37","RR","G","DECK","STEEL","LONG","F",1897,4000,2,"SIMPLE-T"
"A","29","HIGHWAY","N","THROUGH","WOOD","MEDIUM","S",1866,1000,2,"WOOD"
"A","24","HIGHWAY","G","THROUGH","WOOD","SHORT","S",1876,1200,4,"WOOD"
"O","49","RR","G","THROUGH","STEEL","LONG","F",1910,1620,2,"CANTILEV"
"M","1","HIGHWAY","G","THROUGH","STEEL","LONG","F",1927,1330,4,"CANTILEV"
"A","24","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1969,870,6,"ARCH"
"A","37","RR","N","DECK","STEEL","LONG","F",1918,2300,2,"CONT-T"
"M","23","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S-F",1950,1320,2,"SIMPLE-T"
"A","32","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S",1924,2365,4,"ARCH"
"O","41","RR","G","THROUGH","STEEL","LONG","F",1915,2822,2,"SIMPLE-T"
"O","45","RR","G","THROUGH","STEEL","MEDIUM","F",1878,-8.99903470781283e-05,2,"SIMPLE-T"
"A","27","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S-F",1926,860,4,"SUSPEN"
"A","35","RR","G","THROUGH","STEEL","MEDIUM","S",1903,3000,2,"SIMPLE-T"
"M","16","RR","G","THROUGH","STEEL","MEDIUM","S",1903,1300,2,"SIMPLE-T"
"M","7","HIGHWAY","G","THROUGH","STEEL","LONG","F",1978,950,6,"ARCH"
"A","39","RR","N","DECK","WOOD","MEDIUM","S",1853,-7.64751446240552e-05,2,"WOOD"
"A","28","RR","N","THROUGH","IRON","SHORT","S",1864,1200,2,"SIMPLE-T"
"M","17","HIGHWAY","G","THROUGH","IRON","MEDIUM","F",1891,-9.70182525179553e-05,2,"SIMPLE-T"
"A","33","HIGHWAY","N","THROUGH","WOOD","MEDIUM","S",1856,-7.80969692186773e-05,2,"WOOD"
"M","15","RR","G","THROUGH","STEEL","MEDIUM","S",1898,2000,2,"SIMPLE-T"
"A","30","WALK","G","THROUGH","STEEL","MEDIUM","F",1921,-0.00065218775489484,2.46777308001581,"SUSPEN"
"M","11","HIGHWAY","G","THROUGH","IRON","MEDIUM","F",1894,-9.86400766578299e-05,2,"SIMPLE-T"
"M","13","RR","G","THROUGH","STEEL","LONG","F",1901,-0.000102424333249473,2,"SIMPLE-T"
"O","42","HIGHWAY","N","THROUGH","STEEL","LONG","F",1931,1450,4,"ARCH"
"M","3","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S",1884,1000,2,"ARCH"
"A","24","HIGHWAY","G","THROUGH","STEEL","LONG","F",1915,1000,4,"SIMPLE-T"
"M","2","RR","G","THROUGH","STEEL","LONG","F",1904,1504,2.7229808968284,"CANTILEV"
"M","1","HIGHWAY","G","THROUGH","STEEL","LONG","F",1959,1000,6,"ARCH"
"A","38","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S",1927,1508,2.75326419990614,"ARCH"
"M","6","HIGHWAY","N","THROUGH","WOOD","MEDIUM","S",1856,1200,2,"WOOD"
"M","4","RR","N","THROUGH","IRON","MEDIUM","F",1863,1000,2,"SIMPLE-T"
"M","21","RR","G","THROUGH","STEEL","LONG","F",1903,1154,2.6572240309957,"SIMPLE-T"
"M","17","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S",1928,2250,2,"SIMPLE-T"
"M","22","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1951,900,4,"CONT-T"
"A","33","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1900,1200,2,"SIMPLE-T"
"A","38","HIGHWAY","G","THROUGH","STEEL","MEDIUM","F",1900,2000,2,"SIMPLE-T"
"A","39","AQUEDUCT","N","DECK","WOOD","MEDIUM","S",1848,-0.000536407935783245,1,"WOOD"
"Y","52","HIGHWAY","G","THROUGH","STEEL","MEDIUM","S",1945,-0.000660335857787686,2.49860418564849,"ARCH"
"A","32","HIGHWAY","N","THROUGH","WOOD","MEDIUM","S",1870,1000,2,"WOOD"
