"package","dataset","imputation_time"
"softImpute","adult","0.117999999999483"
"softImpute","eucalyptus","0.0209999999997308"
"softImpute","dresses-sales","0.0210000000006403"
"softImpute","colic","0.108000000000175"
"softImpute","credit-approval","0.0219999999999345"
"softImpute","bridges","0.0180000000000291"
"softImpute","sick","0.117000000000189"
"softImpute","SpeedDating","1.06999999999971"
"softImpute","hepatitis","0.167000000000371"
"softImpute","vote","0.022000000000844"
"softImpute","cylinder-bands","0.0450000000000728"
"softImpute","echoMonths","0.0489999999999782"
